directors,popularity,rating,stars,title,writers
David Fincher,104,8.8,"Brad Pitt,Edward Norton,Meat Loaf,See full cast & crew",Fight Club,"Chuck Palahniuk,Jim Uhls"
Sergio Leone,247,8.8,"Clint Eastwood,Eli Wallach,Lee Van Cleef,See full cast & crew","The Good, the Bad and the Ugly","Luciano Vincenzoni,Sergio Leone,4 more credits"
Peter Jackson,67,8.8,"Elijah Wood,Ian McKellen,Orlando Bloom,See full cast & crew",The Lord of the Rings: The Fellowship of the Ring,"J.R.R. Tolkien,Fran Walsh,2 more credits"
Quentin Tarantino,54,8.9,"John Travolta,Uma Thurman,Samuel L. Jackson,See full cast & crew",Pulp Fiction,"Quentin Tarantino,Roger Avary,1 more credit"
Steven Spielberg,135,8.9,"Liam Neeson,Ralph Fiennes,Ben Kingsley,See full cast & crew",Schindler's List,"Thomas Keneally,Steven Zaillian"
Francis Ford Coppola,219,9.0,"Al Pacino,Robert De Niro,Robert Duvall,See full cast & crew",The Godfather: Part II,"Francis Ford Coppola,Mario Puzo,1 more credit"
Peter Jackson,143,8.9,"Elijah Wood,Viggo Mortensen,Ian McKellen,See full cast & crew",The Lord of the Rings: The Return of the King,"J.R.R. Tolkien,Fran Walsh,2 more credits"
Sidney Lumet,275,8.9,"Henry Fonda,Lee J. Cobb,Martin Balsam,See full cast & crew",12 Angry Men,"Reginald Rose,Reginald Rose"
Francis Ford Coppola,36,9.2,"Marlon Brando,Al Pacino,James Caan,See full cast & crew",The Godfather,"Mario Puzo,Francis Ford Coppola,1 more credit"
Christopher Nolan,57,9.0,"Christian Bale,Heath Ledger,Aaron Eckhart,See full cast & crew",The Dark Knight,"Jonathan Nolan,Christopher Nolan,3 more credits"
